ID,대분류,화면/모듈,세부기능,설명,작성자(자동집계),신뢰도,비고,최종담당(회의보정),검토완료
F063,계정/인증,비밀번호변경,비밀번호 변경 모달·검증·완료,현재/신규/확인 검증 + 완료 모달,csw(normalframe1094),확정,비번변경 시스템=csw,,
F064,계정/인증,공통헤더,헤더(로그인상태·시스템시간·관리자메뉴),"상태별 표시, 권한 제어, 홈/로그아웃",csw(normalframe1094),추정,,,
F065,계정/인증,공통사이드메뉴,사이드메뉴(네비·안전확인·관리자링크),햄버거 토글·사용자정보·메뉴 하이라이트,csw(normalframe1094),추정,,,
F066,작업자관리,작업자현황,작업자 목록·요약통계·상태필터,"전체/연결 수, 위험·주의·정상 필터 칩",csw(normalframe1094),확정,작업자 관리 페이지=csw,,
F067,작업자관리,작업자현황,작업자 상세 패널(위치·프로필·안전준비도),"위치 모니터링, PPE·체크리스트·VR 상태 아이콘",csw(normalframe1094),확정,,,
F068,작업자관리,작업자현황,작업자 알림 전송(개별/선택/전체),대상 선택 + 메시지(100자) 발송 + 토스트,csw(normalframe1094),확정,,,
F069,안전관리,체크리스트,작업 전 안전 체크리스트(10개 카테고리),PPE~비상대응 38개 항목 체크 + 카테고리 에러,csw(normalframe1094),확정,안전 체크리스트=csw,,
F070,안전관리,체크리스트,체크 상태 저장/복구·완료 모달·VR 연계,"이전 제출 복구, 완료 후 VR로 이동",csw(normalframe1094),확정,,,
F071,안전관리,VR교육,VR 교육 플레이어(재생·진행률·시간),재생 컨트롤·진행바·시간 표시,csw(normalframe1094),확정,VR 교육 시스템=csw,,
F072,안전관리,VR교육,VR 이어보기·중단확인·자동저장,"재생위치 저장/재개, 중단 모달",csw(normalframe1094),확정,,,
F073,안전관리,VR교육,VR 완료 처리·사전 체크리스트 검증,"100% 시청 시 완료, 미완료 시 리다이렉트",csw(normalframe1094),확정,,,
F074,안전관리,안전사이드바,안전확인 사이드바(체크리스트/VR 잠금),"완료 아이콘, VR 잠금/활성 제어",csw(normalframe1094),추정,,,
F075,알람·이상탐지,모델,Alarm 모델/DB 저장,alarm_type·level·is_ai·message DB 기록,나(이재호),중복,알람 DB저장 통합(ljh),,
F076,알람·이상탐지,모델,AIPrediction 모델/검증,IF 추세예측 기록 + pending→success/failure,나(이재호),확정,Isolation Forest 알람DB(ljh),,
F077,알람·이상탐지,분류,고정 임계치 가스 분류(9종),ACGIH/NIOSH 기준 caution/danger 판정,나(이재호),중복,가스 임계치(ljh)·csw 재정립,,
F078,알람·이상탐지,분류,동적 임계치 전력 분류(24h 중앙값),"watt 중앙값×계수, 샘플부족 fallback",나(이재호),확정,전력 동적임계치(ljh),,
F079,알람·이상탐지,AI탐지,ARIMA 이상탐지(패턴 이탈),60샘플 ARIMA 잔차 3σ 초과 판정,나(이재호),중복,ARIMA(ljh)·NU1 anomaly_detector,,
F080,알람·이상탐지,AI탐지,ARIMA 시계열 예측(베이스라인),"ARIMA(1,1,0) 60틱 미래 예측",나(이재호),확정,ARIMA 예측(ljh),,
F081,알람·이상탐지,AI탐지,Isolation Forest 추세 예측,MAD outlier 제거 + IF 이상점수 + 기울기 예측,나(이재호),확정,Isolation Forest(ljh),,
F082,알람·이상탐지,AI탐지,AI 예측 검증(성공/실패 판정),마감 지난 pending 예측 현재값 대조,나(이재호),확정,,,
F083,알람·이상탐지,평가,센서 평가·상태전이·알람발행,"격상 즉시/격하 윈도우, WS 푸시 + 메트릭",csw(normalframe1094),중복,"알람 재정립=csw, 흐름통합=ljh",,
F084,알람·이상탐지,평가,작업자 평가·좌표기반 상태전이,"근접센서+지오펜스 종합, critical 외부알림",csw(normalframe1094),중복,zone_type 4종 개편(ljh),,
F085,알람·이상탐지,상태저장,Redis 상태저장소·격상/회복 윈도우,"센서/작업자 state + 카운터, TTL, graceful fallback",csw(normalframe1094),추정,,,
F086,알람·이상탐지,알람UI,알람 목록 화면(필터·통계·일괄읽음),"레벨 필터, 통계카드, 페이지네이션",나(이재호),중복,이벤트현황과 연계,,
F087,알람·이상탐지,메트릭,알람 생성/throttle 메트릭,Prometheus Counter(중복 60s 방지),csw(normalframe1094),추정,,,
F088,알람·이상탐지,외부알림,외부 알림 Celery 태스크,"비동기 발송, zone/worker trigger, 재시도",서호준,중복,디스코드(shj)·태스크 통합,,
F089,지오펜스,모델,GeoFence 모델(정적+동적 통합),zone_type 4종 + 동적필드(tier·radius·expires),나(이재호),중복,zone_type 4종(ljh)·동적=csw,,
F090,지오펜스,모델,ZoneEvent 라이프사이클 로그,생성·확장·승격·만료 이벤트 기록,csw(normalframe1094),추정,,,
F091,지오펜스,판정,Point-in-Polygon(Ray Casting),좌표 폴리곤 내부 판정,csw(normalframe1094),중복,,,
F092,지오펜스,동적구역,간단 잔차 이상탐지(zone용),최근5분-30분 평균 잔차 임계 초과 판정,csw(normalframe1094),확정,AI 정확도 개선=csw,,
F093,지오펜스,동적구역,그레이엄 확산법칙 반경계산,분자량별 확산속도→반경(px),csw(normalframe1094),확정,,,
F094,지오펜스,동적구역,동적 zone 생성·tier 승격·반경진화,"tentative→confirmed→critical, TTL 5/30/60분",csw(normalframe1094),확정,동적 지오펜스=csw,,
F095,지오펜스,동적구역,zone 자동만료·주기 틱,만료 비활성 + tick 관리명령,csw(normalframe1094),확정,,,
F096,지오펜스,시나리오,회귀 시나리오(단일/다중/급격 누출),가상센서 spike→zone→승격 자동검증,csw(normalframe1094),확정,시나리오 안정화=csw,,
F097,지오펜스,시나리오,운영 시나리오 + spike 지속주입(Celery),대시보드 시연용 ramp 곡선 주입,csw(normalframe1094),확정,,,
F098,지오펜스,API,Zone CRUD/시나리오 시작·중지 API,"soft delete, 운영 시나리오 registry",csw(normalframe1094),추정,,,
F099,센서·장비,모델,Device 센서 마스터 모델,device_id·타입·좌표·status·geofence FK,csw(normalframe1094),중복,장비모델 초기,,
F100,센서·장비,모델,SensorData 시계열 모델,"9종가스+전력3종+temp, R&D 평가 칼럼",나(이재호),중복,가스9종 필드(ljh),,
F101,센서·장비,API,센서 데이터 수신·저장·평가·알람,"검증→분류→평가→알람→AI예측→WS, 저장주기 솎기",나(이재호),중복,서버 직접 임계치 판별(ljh),,
F102,센서·장비,API,센서 데이터 조회(최근 N개),device별 시계열 반환,나(이재호),추정,,,
F103,센서·장비,성능,센서 근접도 캐시·사전로드,쌍거리 메모리 캐시 + 관리명령,csw(normalframe1094),추정,,,
F104,센서·장비,API,장비 CRUD/필터 API,센서타입 필터 조회,normaluser111,추정,,,
F105,센서·장비,메트릭,센서 저장 메트릭,DB INSERT Counter(throttle 전),csw(normalframe1094),추정,,,
F106,데이터생성기,FastAPI,FastAPI 시뮬레이터 앱·생명주기,"scheduler 기동, CORS, /metrics 노출",csw(normalframe1094),중복,"FastAPI구조=csw, WS연동=NU1",,
F107,데이터생성기,생성,가스 9종 생성(OU 평균회귀+이벤트),"카탈로그 사양 정합, 모드별 동작",csw(normalframe1094),추정,,,
F108,데이터생성기,생성,전력 3필드 생성(과부하 시나리오),"current/voltage/watt, danger 고전류",csw(normalframe1094),추정,,,
F109,데이터생성기,생성,작업자 위치 랜덤워크,1360×960 관성이동+경계 bounce,csw(normalframe1094),추정,,,
F110,데이터생성기,스케줄러,1초 주기 루프·Django POST·지오펜스 트리거,센서·작업자 전송 + check-geofence + 5초 재로드,csw(normalframe1094),추정,,,
F111,데이터생성기,전송,센서/작업자/지오펜스 POST + 메트릭,"내부 인증 헤더, 호출 결과 메트릭",csw(normalframe1094),추정,,,
F112,데이터생성기,시나리오,5 device 토글 + 6-phase 자동 ramp,R&D 시나리오 토글·phase 라벨,csw(normalframe1094),확정,시나리오 토글=csw,,
F113,실시간통신,WebSocket,DashboardConsumer 4그룹 구독,alarms/workers/sensors/zones 그룹 수신,csw(normalframe1094),중복,WS구조=csw,,
F114,실시간통신,Publisher,메시지 발행자(alarm/worker/sensor/zone),"Channel Layer 래퍼, Redis 장애 흡수",csw(normalframe1094),추정,,,
F115,실시간통신,캐시,Redis 실시간 상태 캐시,센서·작업자 최신값 캐싱,csw(normalframe1094),추정,,,
F116,실시간통신,메트릭,WebSocket 연결/발행 메트릭,활성 연결 Gauge + 발행 Counter,csw(normalframe1094),추정,,,
F117,인프라·관측,K8s,쿠버네티스 매니페스트(11종),namespace~hpa: PG/Redis/Django/Celery/Generator/Prom/Grafana/Ingress,csw(normalframe1094),확정,쿠버네티스=csw,,
F118,인프라·관측,K8s,Django HPA 오토스케일,CPU 70% 2~5 replica 자동확장,csw(normalframe1094),확정,,,
F119,인프라·관측,관측,Prometheus 수집(K8s SD/scrape job),django/celery/generator 메트릭 수집,csw(normalframe1094),확정,Prometheus=csw,,
F120,인프라·관측,관측,Grafana 통합 대시보드,API 성공률·지연·Celery·작업자 18패널,csw(normalframe1094),확정,Grafana=csw,,
F121,인프라·관측,관측,Grafana 가스농도 추세 대시보드,9종 가스 시계열 + 임계선,csw(normalframe1094),확정,가스 대시보드=csw,,
F122,인프라·관측,Celery,Celery 워커+Beat·멀티프로세스 메트릭,비동기 큐 + :9809 메트릭 합산,csw(normalframe1094),추정,,,
F123,인프라·관측,Docker,Docker 통합 빌드(compose+Dockerfile),PG/Redis/Django/Celery/Generator 스택,csw(normalframe1094),확정,Docker 통합=csw,,
F124,인프라·관측,배포,배포 스크립트(redeploy/import/apply),이미지 빌드·kind import·백오피스 적용,csw(normalframe1094),추정,,,
F125,인프라·관측,설정,Django settings/ASGI/Celery 구성,Prometheus·Channels·PG/SQLite 전환,csw(normalframe1094),중복,초기 구성 혼재,,
F126,인프라·관측,초기구축,프로젝트 뼈대/대시보드 파일 생성,초기 대시보드 앱 생성,김나현,확정,대시보드 파일 생성=김나현,,
